,Picea,Pinus,Alnus,Betula,Quercus,Ambrosia,Chenopodiaceae,Synth_0,Synth_1,Synth_2,Synth_3,Synth_4,Synth_5,Synth_6,Synth_7,Synth_8,Synth_9,Synth_10,Synth_11,Synth_12,Synth_13,Synth_14,Synth_15,Synth_16,Synth_17,Synth_18,Synth_19,Synth_20,Synth_21,Synth_22,Synth_23,Synth_24,Synth_25,Synth_26,Synth_27,Synth_28,Synth_29,Synth_30,Synth_31,Synth_32,Synth_33,Synth_34,Synth_35,Synth_36,Synth_37,Synth_38,Synth_39,Synth_40,Synth_41,Synth_42,Synth_43,Synth_44,Synth_45,Synth_46,Synth_47,Synth_48,Synth_49,Synth_50,Synth_51,Synth_52,Synth_53,Synth_54,Synth_55,Synth_56,Synth_57,Synth_58,Synth_59,Synth_60,Synth_61,Synth_62,Synth_63,Synth_64,Synth_65,Synth_66,Synth_67,Synth_68,Synth_69,Synth_70,Synth_71,Synth_72,Synth_73,Synth_74,Synth_75,Synth_76,Synth_77,Synth_78,Synth_79,Synth_80,Synth_81,Synth_82,Synth_83,Synth_84,Synth_85,Synth_86,Synth_87,Synth_88,Synth_89,Synth_90,Synth_91,Synth_92,Synth_93,Synth_94,Synth_95,Synth_96,Synth_97,Synth_98,Synth_99,Synth_0_y,Synth_1_y,Synth_2_y,Synth_3_y,Synth_4_y,Synth_5_y,Synth_6_y,Synth_7_y,Synth_8_y,Synth_9_y,Synth_10_y,Synth_11_y,Synth_12_y,Synth_13_y,Synth_14_y,Synth_15_y,Synth_16_y,Synth_17_y,Synth_18_y,Synth_19_y,Synth_20_y,Synth_21_y,Synth_22_y,Synth_23_y,Synth_24_y,Synth_25_y,Synth_26_y,Synth_27_y,Synth_28_y,Synth_29_y,Synth_30_y,Synth_31_y,Synth_32_y,Synth_33_y,Synth_34_y,Synth_35_y,Synth_36_y,Synth_37_y,Synth_38_y,Synth_39_y,Synth_40_y,Synth_41_y,Synth_42_y,Synth_43_y,Synth_44_y,Synth_45_y,Synth_46_y,Synth_47_y,Synth_48_y,Synth_49_y,Synth_50_y,Synth_51_y,Synth_52_y,Synth_53_y,Synth_54_y,Synth_55_y,Synth_56_y,Synth_57_y,Synth_58_y,Synth_59_y,Synth_60_y,Synth_61_y,Synth_62_y,Synth_63_y,Synth_64_y,Synth_65_y,Synth_66_y,Synth_67_y,Synth_68_y,Synth_69_y,Synth_70_y,Synth_71_y,Synth_72_y,Synth_73_y,Synth_74_y,Synth_75_y,Synth_76_y,Synth_77_y,Synth_78_y,Synth_79_y,Synth_80_y,Synth_81_y,Synth_82_y,Synth_83_y,Synth_84_y,Synth_85_y,Synth_86_y,Synth_87_y,Synth_88_y,Synth_89_y,Synth_90_y,Synth_91_y,Synth_92_y,Synth_93_y,Synth_94_y,Synth_95_y,Synth_96_y,Synth_97_y,Synth_98_y,Synth_99_y,Picea_change,Pinus_change,Alnus_change,Betula_change,Quercus_change,Ambrosia_change,Chenopodiaceae_change,Synth_0_change,Synth_1_change,Synth_2_change,Synth_3_change,Synth_4_change,Synth_5_change,Synth_6_change,Synth_7_change,Synth_8_change,Synth_9_change,Synth_10_change,Synth_11_change,Synth_12_change,Synth_13_change,Synth_14_change,Synth_15_change,Synth_16_change,Synth_17_change,Synth_18_change,Synth_19_change,Synth_20_change,Synth_21_change,Synth_22_change,Synth_23_change,Synth_24_change,Synth_25_change,Synth_26_change,Synth_27_change,Synth_28_change,Synth_29_change,Synth_30_change,Synth_31_change,Synth_32_change,Synth_33_change,Synth_34_change,Synth_35_change,Synth_36_change,Synth_37_change,Synth_38_change,Synth_39_change,Synth_40_change,Synth_41_change,Synth_42_change,Synth_43_change,Synth_44_change,Synth_45_change,Synth_46_change,Synth_47_change,Synth_48_change,Synth_49_change,Synth_50_change,Synth_51_change,Synth_52_change,Synth_53_change,Synth_54_change,Synth_55_change,Synth_56_change,Synth_57_change,Synth_58_change,Synth_59_change,Synth_60_change,Synth_61_change,Synth_62_change,Synth_63_change,Synth_64_change,Synth_65_change,Synth_66_change,Synth_67_change,Synth_68_change,Synth_69_change,Synth_70_change,Synth_71_change,Synth_72_change,Synth_73_change,Synth_74_change,Synth_75_change,Synth_76_change,Synth_77_change,Synth_78_change,Synth_79_change,Synth_80_change,Synth_81_change,Synth_82_change,Synth_83_change,Synth_84_change,Synth_85_change,Synth_86_change,Synth_87_change,Synth_88_change,Synth_89_change,Synth_90_change,Synth_91_change,Synth_92_change,Synth_93_change,Synth_94_change,Synth_95_change,Synth_96_change,Synth_97_change,Synth_98_change,Synth_99_change,Synth_0_y_change,Synth_1_y_change,Synth_2_y_change,Synth_3_y_change,Synth_4_y_change,Synth_5_y_change,Synth_6_y_change,Synth_7_y_change,Synth_8_y_change,Synth_9_y_change,Synth_10_y_change,Synth_11_y_change,Synth_12_y_change,Synth_13_y_change,Synth_14_y_change,Synth_15_y_change,Synth_16_y_change,Synth_17_y_change,Synth_18_y_change,Synth_19_y_change,Synth_20_y_change,Synth_21_y_change,Synth_22_y_change,Synth_23_y_change,Synth_24_y_change,Synth_25_y_change,Synth_26_y_change,Synth_27_y_change,Synth_28_y_change,Synth_29_y_change,Synth_30_y_change,Synth_31_y_change,Synth_32_y_change,Synth_33_y_change,Synth_34_y_change,Synth_35_y_change,Synth_36_y_change,Synth_37_y_change,Synth_38_y_change,Synth_39_y_change,Synth_40_y_change,Synth_41_y_change,Synth_42_y_change,Synth_43_y_change,Synth_44_y_change,Synth_45_y_change,Synth_46_y_change,Synth_47_y_change,Synth_48_y_change,Synth_49_y_change,Synth_50_y_change,Synth_51_y_change,Synth_52_y_change,Synth_53_y_change,Synth_54_y_change,Synth_55_y_change,Synth_56_y_change,Synth_57_y_change,Synth_58_y_change,Synth_59_y_change,Synth_60_y_change,Synth_61_y_change,Synth_62_y_change,Synth_63_y_change,Synth_64_y_change,Synth_65_y_change,Synth_66_y_change,Synth_67_y_change,Synth_68_y_change,Synth_69_y_change,Synth_70_y_change,Synth_71_y_change,Synth_72_y_change,Synth_73_y_change,Synth_74_y_change,Synth_75_y_change,Synth_76_y_change,Synth_77_y_change,Synth_78_y_change,Synth_79_y_change,Synth_80_y_change,Synth_81_y_change,Synth_82_y_change,Synth_83_y_change,Synth_84_y_change,Synth_85_y_change,Synth_86_y_change,Synth_87_y_change,Synth_88_y_change,Synth_89_y_change,Synth_90_y_change,Synth_91_y_change,Synth_92_y_change,Synth_93_y_change,Synth_94_y_change,Synth_95_y_change,Synth_96_y_change,Synth_97_y_change,Synth_98_y_change,Synth_99_y_change
0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,-1,1,0,1,-1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,-1,0,1,1,0,1,1,-1,1,0,1,0,1,1,1,0,0,-1,1,1,1,1,1,0,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,0,1,0,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,-1,0,1,1,0,1,1,-1,1,0,1,0,1,1,1,0,0,-1,0,1,1,1,1,1,-1,-1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,-1,0,0,1,0,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,0,1,1,0,1,1
2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,-1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,0,1,-1,1,1,1,1,1,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,0,1,1
3,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,-1,0,1,0,-1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,-1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,-1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,0,1,1
4,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,2,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,2,2,0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,2,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,2,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,2,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,2,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,-1,0,1,1,1,-1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,-1,1,1,1,0,1,1,1,0,0,-1,1,1,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,0,0,1,1,1,1,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,0,1,1,1,0,0,-1,1,1,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,0,0,1,1,1,1,1,-1,1,1,1,0,1,1
5,2,1,0,2,0,1,1,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,2,1,0,0,0,2,1,0,1,0,2,0,2,0,0,2,0,0,2,0,1,0,2,2,0,2,0,2,1,0,2,2,0,2,2,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,2,2,2,0,0,1,2,2,2,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,2,0,0,0,0,2,1,0,1,0,2,0,2,0,0,2,0,0,1,0,1,0,2,2,0,2,0,2,1,0,1,1,0,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,2,2,2,0,0,0,2,1,2,0,2,1,0,0,0,0,0,-1,1,0,0,-1,-1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,-1,1,-1,1,1,1,0,1,1,-1,1,0,1,0,1,0,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,-1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,-1,1,-1,1,1,1,0,1,1,-1,1,0,1,0,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,-1,0,0,1,1,1,1
6,2,0,0,2,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,0,2,1,1,0,0,2,1,0,1,0,2,0,2,0,0,2,1,0,1,0,1,0,2,2,0,2,0,2,1,0,2,2,0,2,2,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,2,2,2,0,0,1,2,1,2,0,2,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,0,2,1,1,0,0,2,1,0,1,0,2,0,2,0,0,2,0,0,2,0,1,0,2,2,0,2,0,2,1,0,2,2,0,2,2,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,2,2,2,0,0,1,2,2,2,0,2,1,0,0,0,1,0,1,-1,0,-1,0,-1,-1,0,1,1,1,1,0,1,-1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,-1,-1,1,-1,0,1,0,1,-1,-1,1,1,0,1,1,-1,0,0,-1,1,1,-1,1,0,1,-1,-1,1,-1,1,-1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,-1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,-1,-1,-1,-1,0,0,1,-1,0,-1,1,-1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,0,1,1,1,0,0,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,0,0,1,1,1,1,1,-1,1,1,1,0,1,1
7,1,2,0,2,0,2,2,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,0,2,1,1,1,0,2,1,0,2,0,2,0,2,0,0,2,1,0,1,0,2,0,2,2,0,2,0,2,2,0,2,2,0,2,2,1,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,2,2,2,0,1,1,2,2,2,0,2,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,0,2,1,1,1,0,2,1,0,2,0,2,0,2,0,0,2,1,0,1,0,2,0,2,2,0,2,0,2,2,0,2,2,0,2,2,1,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,2,2,2,0,1,1,2,2,2,0,2,1,0,0,0,1,0,-1,1,0,-1,-1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,-1,0,1,1,1,0,1,-1,-1,0,1,0,1,1,1,0,-1,-1,1,1,0,1,1,1,-1,-1,1,1,1,-1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,-1,-1,0,1,0,1,1,0,0,1,1,1,1,1,0,-1,1,1,1,0,0,1,1,1,-1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,-1,-1,0,1,1,1,1,1,-1,-1,0,1,0,1,1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,0,1,-1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,-1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,-1,1,1,0,0,0,1,-1,0,-1,0,1,1,1,1,0,0,1
8,1,2,1,1,0,1,1,0,1,1,1,0,2,0,1,1,0,0,0,0,0,0,0,1,1,2,0,1,1,1,2,1,2,2,1,1,0,2,1,1,2,0,2,1,2,0,1,2,2,0,1,0,1,0,2,2,0,2,0,2,2,0,2,2,0,2,2,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,2,2,2,0,0,1,2,2,2,0,2,1,1,1,0,2,0,1,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,1,1,2,0,1,1,1,2,1,2,2,1,1,0,2,1,1,2,0,2,1,2,0,1,2,1,0,1,0,1,0,2,2,0,2,0,2,2,0,2,2,0,2,2,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,2,2,2,0,0,1,2,2,2,0,2,1,1,0,0,1,0,1,1,1,-1,0,-1,-1,-1,1,1,1,1,1,1,-1,-1,0,1,1,1,0,1,0,1,1,1,1,1,1,-1,-1,1,-1,0,1,0,1,-1,1,1,1,0,-1,1,-1,1,1,-1,1,1,0,1,-1,1,-1,-1,1,-1,1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,0,1,0,0,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,-1,-1,1,-1,1,1,1,1,-1,1,1,1,0,-1,1,-1,1,1,-1,1,1,0,1,-1,1,-1,-1,1,-1,1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,0,1,0,0,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,1,-1,1,1,1,-1,1,1
9,0,1,2,2,0,2,2,1,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,2,0,1,1,0,2,1,2,2,1,0,0,2,1,1,2,0,2,1,2,0,1,2,1,0,0,0,1,0,2,2,0,2,0,1,2,0,2,2,0,2,2,0,0,1,0,1,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,2,2,2,0,0,0,1,2,1,0,2,1,1,1,0,1,0,1,1,1,1,0,2,0,1,1,0,0,0,0,0,0,0,1,1,2,0,1,1,1,2,1,2,2,1,0,0,2,1,1,2,0,2,1,2,0,1,2,1,0,0,0,1,0,2,2,0,2,0,1,2,0,2,2,0,2,2,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,2,0,0,2,2,1,2,2,2,0,0,0,1,2,1,0,2,1,1,1,0,1,0,-1,-1,0,1,1,1,1,1,0,-1,0,0,-1,1,-1,1,1,0,1,1,0,1,0,0,0,-1,-1,1,1,-1,-1,1,-1,0,0,-1,1,-1,-1,0,-1,1,-1,1,-1,1,0,-1,-1,1,-1,1,0,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,1,-1,-1,1,-1,1,0,1,0,1,1,0,1,1,-1,1,1,-1,-1,0,-1,-1,-1,1,0,-1,-1,-1,-1,1,-1,0,0,0,-1,-1,1,-1,1,1,1,0,1,1,-1,1,1,1,1,1,0,1,0,1,1,-1,0,1,1,-1,-1,1,-1,0,1,-1,1,-1,-1,1,0,1,-1,1,-1,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,1,1,1,0,-1,1,0,1,0,1,1,0,1,1,0,1,1,-1,1,0,-1,-1,-1,1,0,-1,-1,0,-1,1,-1,1,0,1,-1,-1,1
